楼宇编号,楼宇名称,所属板块,物业类型,物业等级,报价租金(元/㎡/天),物业费(元/㎡/月),楼宇总建筑面积(㎡),竣工时间,标准层层高(米),出租率(%),入驻企业名称,入驻企业所属行业,入驻楼层,租赁面积(㎡),成交租金(元/㎡/天),免租期(月),企业经营状态,剩余租期(月)
YP011,杨浦滨江国际设计中心,杨浦滨江,写字楼,超甲级,8.8,33,52000,2019,4.5,11.5,安藤忠雄建筑研究所,建筑设计,8-11F,4200,8.6,4,正常经营,41
YP011,杨浦滨江国际设计中心,杨浦滨江,写字楼,超甲级,8.8,33,52000,2019,4.5,11.5,英国 BBC 创意工作室,文化创意,6F,1800,8.4,3,正常经营,22
YP012,东方渔人码头商务楼,杨浦滨江,混合,甲级,7.4,29,74000,2017,4.1,12.7,海尔智家上海中心,智能家电,12-16F,6800,7.1,3,正常经营,35
YP012,东方渔人码头商务楼,杨浦滨江,混合,甲级,7.4,29,74000,2017,4.1,12.7,美的楼宇科技,智能制造,9F,2600,7,3,新签约,47
YP013,城市概念创意园,长阳路,产业园,丙级,3.8,12,32000,2009,4.8,13.8,米哈游创意工作室,游戏,2-4F,4400,3.7,4,正常经营,27
YP013,城市概念创意园,长阳路,产业园,丙级,3.8,12,32000,2009,4.8,13.8,叮咚买菜（研发）,互联网/本地生活,1F,1900,3.6,3,已退租,0
YP014,大柏树智慧广场,中环,写字楼,乙级,5.4,20,58000,2011,3.8,16.6,中通快递华东总部,物流,10-14F,7200,5.2,3,正常经营,30
YP014,大柏树智慧广场,中环,写字楼,乙级,5.4,20,58000,2011,3.8,16.6,货拉拉上海运营,物流,8F,2400,5.1,2,正常经营,13
YP015,新江湾城瑞创大厦,新江湾城,写字楼,甲级,6,22,64000,2020,4.2,18.1,复星医药创新中心,医药,15-21F,8600,5.8,4,正常经营,49
YP015,新江湾城瑞创大厦,新江湾城,写字楼,甲级,6,22,64000,2020,4.2,18.1,药明康德数据团队,生物科技,11F,3000,5.7,3,正常经营,25
YP016,控江路科创大楼,控江路,产业园,乙级,4.4,15,40000,2013,4.3,17.3,极链科技 Video++,人工智能,5-8F,5200,4.3,4,正常经营,21
YP016,控江路科创大楼,控江路,产业园,乙级,4.4,15,40000,2013,4.3,17.3,禾赛科技（销售）,智能硬件,4F,1700,4.2,3,新签约,39
YP017,四平路科技金融大厦,四平路,写字楼,乙级,5.6,21,50000,2012,3.9,17.2,同济科技园企业服务,专业服务,6-10F,6400,5.4,3,正常经营,28
YP017,四平路科技金融大厦,四平路,写字楼,乙级,5.6,21,50000,2012,3.9,17.2,岚图汽车数字研究院,汽车,5F,2200,5.3,3,筹备装修,46
YP018,杨浦科技创业中心,五角场,产业园,乙级,4.8,17,44000,2010,4.4,15.2,依图科技实验室,人工智能,7-9F,4800,4.7,4,正常经营,23
YP018,杨浦科技创业中心,五角场,产业园,乙级,4.8,17,44000,2010,4.4,15.2,森亿智能,医疗AI,6F,1900,4.6,3,正常经营,17
YP019,江湾国际青年公寓,新江湾城,租赁住宅,甲级,5.5,0,38000,2021,3,84.2,招商伊敦公寓运营,长租公寓,整栋,32000,5.3,1,正常经营,80
YP020,滨江湾谷人才公寓,杨浦滨江,租赁住宅,乙级,4.8,0,29000,2022,3,82.8,城投宽庭社区运营,长租公寓,整栋,24000,4.6,1,新签约,92
YP021,财富中心广场,五角场,写字楼,甲级,6.9,26,70000,2014,4,13.4,小米生态链（上海）,智能硬件,16-20F,6600,6.7,3,正常经营,34
YP021,财富中心广场,五角场,写字楼,甲级,6.9,26,70000,2014,4,13.4,理想汽车上海中心,汽车,12F,2800,6.5,3,正常经营,19
YP022,隆昌路智造园,控江路,产业园,丙级,3.6,11,28000,2008,5.2,20,上海电气智能制造,智能制造,1-3F,5600,3.5,3,正常经营,26
YP023,中环创智园,中环,混合,乙级,5,19,56000,2015,4.1,15.4,哈啰出行华东团队,互联网/出行,8-12F,6200,4.9,3,正常经营,24
YP023,中环创智园,中环,混合,乙级,5,19,56000,2015,4.1,15.4,蔚来能源研究院,新能源,6F,2400,4.8,3,新签约,41
YP024,大连路 369 广场,大连路,写字楼,超甲级,8.2,31,90000,2016,4.4,17.8,京东（华东数科）,互联网,25-32F,10400,8,4,正常经营,52
YP024,大连路 369 广场,大连路,写字楼,超甲级,8.2,31,90000,2016,4.4,17.8,渣打银行科技中心,金融,20F,3400,7.9,3,正常经营,30
YP024,大连路 369 广场,大连路,写字楼,超甲级,8.2,31,90000,2016,4.4,17.8,麦肯锡数字咨询,专业服务,18F,2200,8.1,3,正常经营,27
YP025,新江湾智汇坊,新江湾城,产业园,乙级,4.7,16,42000,2019,4.6,22.4,燧原科技芯片研发,半导体,5-9F,6800,4.6,5,正常经营,43
YP025,新江湾智汇坊,新江湾城,产业园,乙级,4.7,16,42000,2019,4.6,22.4,壁仞科技,半导体,4F,2600,4.5,4,筹备装修,50
YP026,黄兴路总部基地,四平路,写字楼,甲级,6.2,23,62000,2013,4,17.1,韵达速递总部,物流,14-19F,7400,6,3,正常经营,38
YP026,黄兴路总部基地,四平路,写字楼,甲级,6.2,23,62000,2013,4,17.1,得物（毒）运营中心,电商,10F,3200,5.9,3,正常经营,21
