楼宇编号,楼宇名称,详细地址,所属板块,物业类型,物业等级,报价租金(元/㎡/天),物业费(元/㎡/月),楼宇总建筑面积(㎡),竣工时间,标准层层高(米),出租率(%),入驻企业名称,入驻企业所属行业,入驻楼层,租赁面积(㎡),成交租金(元/㎡/天),免租期(月),企业经营状态,剩余租期(月)
YP008,复旦科技园大厦,国权路579号,五角场,产业园,乙级,4.5,26,100000,2017,4.2,9.3,复志科技,智能硬件,4F,2100,4.3,4,正常经营,19
YP009,同和国际大厦,国通路127号,五角场,写字楼,甲级,5,25,68000,2012,3.9,10.7,同盾科技,金融科技,8-12F,5400,4.9,3,正常经营,16
YP009,同和国际大厦,国通路127号,五角场,写字楼,甲级,5,25,68000,2012,3.9,10.7,森亿智能,医疗AI,6F,1900,4.8,3,正常经营,25
YP010,天盛科创广场,政立路118号,五角场,写字楼,甲级,5.2,26,100000,2016,4,8.1,依图科技实验室,人工智能,10-14F,6400,5.1,4,正常经营,23
YP010,天盛科创广场,政立路118号,五角场,写字楼,甲级,5.2,26,100000,2016,4,8.1,禾赛科技（销售）,智能硬件,8F,1700,5,3,新签约,39
YP011,财大科技园国华大厦,武川路111号,五角场,写字楼,甲级,5.4,25,68000,2012,3.9,17.6,国华人寿保险,金融,10-18F,9800,5.3,3,正常经营,44
YP011,财大科技园国华大厦,武川路111号,五角场,写字楼,甲级,5.4,25,68000,2012,3.9,17.6,财大众创空间,创业服务,8F,2200,5,4,正常经营,13
YP012,长海商务楼,国权北路省力,杨浦滨江,写字楼,超甲级,7.6,32,86000,2022,4.5,16.7,汇丰银行（上海分行）,金融,20-28F,11200,7.5,4,正常经营,55
YP012,长海商务楼,国权北路省力,杨浦滨江,写字楼,超甲级,7.6,32,86000,2022,4.5,16.7,普华永道数字化中心,专业服务,16F,3200,7.3,3,正常经营,30
YP013,杨浦滨江国际商务中心,杨树浦路2218号,杨浦滨江,混合,甲级,6.1,29,150000,2020,4.2,7.5,海尔智家上海中心,智能家电,12-18F,8600,6,3,正常经营,35
YP013,杨浦滨江国际商务中心,杨树浦路2218号,杨浦滨江,混合,甲级,6.1,29,150000,2020,4.2,7.5,美的楼宇科技,智能制造,9F,2600,5.9,3,新签约,47
YP014,滨江国际广场（东方渔人码头二期）,杨树浦路1062号,杨浦滨江,写字楼,超甲级,8.6,33,90000,2017,4.4,14,渣打银行科技中心,金融,25-32F,10400,8.4,4,正常经营,52
YP014,滨江国际广场（东方渔人码头二期）,杨树浦路1062号,杨浦滨江,写字楼,超甲级,8.6,33,90000,2017,4.4,14,麦肯锡数字咨询,专业服务,20F,2200,8.5,3,正常经营,27
YP015,杨浦滨江国际设计中心,安浦路,杨浦滨江,写字楼,超甲级,8.8,33,52000,2019,4.5,11.9,BBC 创意工作室,文化创意,6-9F,3800,8.6,4,正常经营,41
YP015,杨浦滨江国际设计中心,安浦路,杨浦滨江,写字楼,超甲级,8.8,33,52000,2019,4.5,11.9,理想汽车上海设计中心,汽车,5F,2400,8.4,3,正常经营,22
YP016,平凉路滨江商务楼,平凉路1788号,平凉路,写字楼,乙级,3.9,23,70000,2021,4,13.7,中通快递华东总部,物流,10-14F,7200,3.8,3,正常经营,30
YP016,平凉路滨江商务楼,平凉路1788号,平凉路,写字楼,乙级,3.9,23,70000,2021,4,13.7,货拉拉上海运营,物流,8F,2400,3.7,2,正常经营,13
YP017,尚浦领世商务广场,昆明路567号,大连路,写字楼,超甲级,8.5,32,96000,2015,4.3,15.4,欧莱雅中国数字中心,快消品,22-30F,11200,8.2,4,正常经营,55
YP017,尚浦领世商务广场,昆明路567号,大连路,写字楼,超甲级,8.5,32,96000,2015,4.3,15.4,西门子数字化工厂,智能制造,18F,3600,8,3,正常经营,26
YP018,大连路壹中心（海鸥科创大厦）,霍山路1188号,大连路,写字楼,甲级,6.8,28,82000,2019,4.2,12.2,中国联通（杨浦）,通信,15-20F,7600,6.6,3,正常经营,29
YP018,大连路壹中心（海鸥科创大厦）,霍山路1188号,大连路,写字楼,甲级,6.8,28,82000,2019,4.2,12.2,安莉芳（中国）,快消品,12F,2400,6.5,3,欠租预警,9
YP019,绿地汇创国际广场,大连路588号,大连路,写字楼,甲级,7,27,82000,2013,4,12.2,京东（华东数科）,互联网,15-20F,7600,6.8,3,正常经营,38
YP019,绿地汇创国际广场,大连路588号,大连路,写字楼,甲级,7,27,82000,2013,4,12.2,太平洋保险科技,金融,12F,2400,6.6,3,正常经营,20
YP020,互联宝地科技园,黄兴路221号,大连路,产业园,乙级,5,18,60000,2014,4.2,23.7,美团（上海）,互联网/本地生活,6-9F,9200,4.9,4,正常经营,31
YP020,互联宝地科技园,黄兴路221号,大连路,产业园,乙级,5,18,60000,2014,4.2,23.7,得物 APP 运营中心,电商,5F,3400,5,3,正常经营,20
YP020,互联宝地科技园,黄兴路221号,大连路,产业园,乙级,5,18,60000,2014,4.2,23.7,福特汽车（研发）,汽车,4F,1600,4.8,2,新签约,36
YP021,尚浦中心,三门路258号,新江湾城,混合,甲级,5.8,28,200000,2016,4.3,20,耐克大中华区总部,快消品,A栋整栋,26000,5.7,4,正常经营,60
YP021,尚浦中心,三门路258号,新江湾城,混合,甲级,5.8,28,200000,2016,4.3,20,抖音集团（研发）,互联网,C栋,14000,5.8,4,正常经营,48
YP022,湾谷科技园,国权北路1688弄,新江湾城,产业园,乙级,2.7,20,220000,2021,4.5,8.7,联影医疗研发中心,医疗器械,B3-6F,8800,2.8,5,正常经营,50
YP022,湾谷科技园,国权北路1688弄,新江湾城,产业园,乙级,2.7,20,220000,2021,4.5,8.7,商汤科技实验室,人工智能,A4-7F,7200,2.9,4,正常经营,33
YP022,湾谷科技园,国权北路1688弄,新江湾城,产业园,乙级,2.7,20,220000,2021,4.5,8.7,诺禾致源,生物科技,C2F,3200,2.6,4,正常经营,28
YP023,未来谷-湾谷创新中心,国权北路1688弄,新江湾城,产业园,乙级,3,20,85000,2023,4.6,11.1,燧原科技芯片研发,半导体,5-9F,6800,3,5,正常经营,43
YP023,未来谷-湾谷创新中心,国权北路1688弄,新江湾城,产业园,乙级,3,20,85000,2023,4.6,11.1,壁仞科技,半导体,4F,2600,2.9,4,筹备装修,50
YP024,新江湾城科技中心,淞沪路2200号,新江湾城,产业园,乙级,4,22,100000,2023,4.5,10.2,思谋科技,人工智能,6-10F,7200,3.9,4,正常经营,42
YP024,新江湾城科技中心,淞沪路2200号,新江湾城,产业园,乙级,4,22,100000,2023,4.5,10.2,药明康德数据团队,生物科技,5F,3000,3.8,3,正常经营,25
YP025,杨浦科技创业中心,国康路100号,新江湾城,产业园,丙级,3.4,21,60000,2020,4.4,11.2,森亿智能孵化团队,医疗AI,7-9F,4800,3.3,4,正常经营,23
YP025,杨浦科技创业中心,国康路100号,新江湾城,产业园,丙级,3.4,21,60000,2020,4.4,11.2,启迪之星孵化器,创业服务,6F,1900,3.2,3,正常经营,17
YP026,新江湾城瑞创大厦,殷行路1388号,新江湾城,写字楼,甲级,4.6,22,64000,2020,4.2,18.1,复星医药创新中心,医药,15-21F,8600,4.5,4,正常经营,49
YP026,新江湾城瑞创大厦,殷行路1388号,新江湾城,写字楼,甲级,4.6,22,64000,2020,4.2,18.1,蔚来能源研究院,新能源,11F,3000,4.4,3,新签约,41
YP027,长阳创谷,长阳路1687号,长阳路,产业园,乙级,5,18,120000,2016,5,13.7,百度（上海）创新中心,人工智能,1号楼,8600,4.9,5,正常经营,36
YP027,长阳创谷,长阳路1687号,长阳路,产业园,乙级,5,18,120000,2016,5,13.7,埃森哲（上海）,专业服务,3号楼,5200,5,4,正常经营,24
YP027,长阳创谷,长阳路1687号,长阳路,产业园,乙级,5,18,120000,2016,5,13.7,爱驰汽车,汽车,5号楼,2600,4.8,4,欠租预警,6
YP028,城市概念软件信息服务园,隆昌路619号,控江路,产业园,丙级,3.8,14,90000,2009,4.8,4.9,米哈游创意工作室,游戏,2-4F,4400,3.7,4,正常经营,27
YP028,城市概念软件信息服务园,隆昌路619号,控江路,产业园,丙级,3.8,14,90000,2009,4.8,4.9,叮咚买菜（研发）,互联网/本地生活,1F,1900,3.6,3,已退租,0
YP029,互联网产业大楼,长阳路1568号,长阳路,产业园,乙级,4.4,16,55000,2015,4.6,16.4,优刻得 UCloud,云计算,6-9F,6600,4.3,4,正常经营,33
YP029,互联网产业大楼,长阳路1568号,长阳路,产业园,乙级,4.4,16,55000,2015,4.6,16.4,智能云科,工业互联网,5F,2400,4.2,3,新签约,41
YP030,同济科技园,赤峰路63号,四平路,产业园,乙级,4.2,24,80000,2011,4.1,14.2,同济设计集团（TJAD）,建筑设计,6-12F,9200,4.1,3,正常经营,28
YP030,同济科技园,赤峰路63号,四平路,产业园,乙级,4.2,24,80000,2011,4.1,14.2,岚图汽车数字研究院,汽车,5F,2200,4,3,筹备装修,46
YP031,上海财经大学国家大学科技园,纪念路8号,五角场,产业园,乙级,4,22,50000,2013,4,13.8,财跨境金融科技,金融科技,5-8F,5200,3.9,4,正常经营,21
YP031,上海财经大学国家大学科技园,纪念路8号,五角场,产业园,乙级,4,22,50000,2013,4,13.8,云锋基金（投研）,金融,4F,1700,4,3,正常经营,30
YP032,上海理工大学国家大学科技园,军工路516号,军工路,产业园,乙级,3.6,18,75000,2012,4.4,11.9,上海电气智能制造,智能制造,3-7F,6800,3.5,4,正常经营,26
YP032,上海理工大学国家大学科技园,军工路516号,军工路,产业园,乙级,3.6,18,75000,2012,4.4,11.9,极链科技 Video++,人工智能,2F,2100,3.4,3,正常经营,18
YP033,五角场高新技术产业园·赛特分园,南翔殷路58号,五角场,产业园,丙级,3.2,15,42000,2010,4.5,13.3,禾赛科技中试基地,智能硬件,1-3F,5600,3.1,3,正常经营,22
YP034,四平科技公园·创新载体,抚顺路,四平路,产业园,丙级,3.4,15,36000,2014,4.3,10.6,声智科技,人工智能,2-4F,3800,3.3,4,新签约,39
YP035,上海婚纱艺术产业园,军工路1436号,军工路,产业园,其它,2.8,12,60000,2008,5.2,13.7,上海婚纱摄影联盟,文化创意,多栋,8200,2.7,3,正常经营,24
YP036,上海信息技术大厦,隆昌路619号,江浦路,写字楼,乙级,2.7,23,50000,2019,3.9,16.4,光明集团信息中心,快消品,8-12F,6400,2.6,3,正常经营,28
YP036,上海信息技术大厦,隆昌路619号,江浦路,写字楼,乙级,2.7,23,50000,2019,3.9,16.4,招商银行江浦支行,金融,1-2F,1800,2.9,2,正常经营,19
YP037,中谊大厦,宁国路374号,江浦路,写字楼,乙级,3.8,25,80000,2017,3.9,7.8,哈啰出行华东团队,互联网/出行,8-12F,6200,3.7,3,正常经营,24
YP038,江浦路金融服务中心,江浦路489号,江浦路,写字楼,乙级,4,24,70000,2022,4,10.6,众安保险（运营）,金融,10-15F,7400,3.9,3,正常经营,38
YP039,控江路商务大厦,控江路1500号,控江路,写字楼,丙级,3.1,21,60000,2018,3.8,8.7,韵达速递（分部）,物流,10-14F,5200,3,3,正常经营,21
YP040,隆昌路智造园,隆昌路1号,控江路,产业园,其它,2.9,12,28000,2008,5.2,20,上海机床智能装备,智能制造,1-3F,5600,2.8,3,正常经营,26
YP041,四平路商务中心,四平路1188号,四平路,写字楼,乙级,4.2,26,90000,2019,4,9.6,同济科技园企业服务,专业服务,6-10F,6400,4.1,3,正常经营,28
YP041,四平路商务中心,四平路1188号,四平路,写字楼,乙级,4.2,26,90000,2019,4,9.6,霍尼韦尔（楼宇）,智能制造,5F,2200,4,3,正常经营,22
YP042,殷行科创大厦,中原路1号,殷行,产业园,丙级,3.5,20,50000,2022,4.3,10.4,华测检测认证,检测认证,5-8F,5200,3.4,4,正常经营,24
YP043,中环创智园,逸仙路,中环,混合,乙级,4,19,56000,2015,4.1,11.1,声网 Agora（华东）,云通信,8-12F,6200,3.9,3,正常经营,24
YP044,大柏树智慧广场,汶水东路,中环,写字楼,乙级,4.4,20,58000,2011,3.8,12.4,中通快递（数科）,物流,10-14F,7200,4.3,3,正常经营,30
YP045,大桥商务大厦,宁国路419号,大桥,写字楼,丙级,2.9,20,70000,2016,3.9,9.7,德邦物流上海,物流,10-15F,6800,2.8,3,正常经营,21
YP046,定海滨江商务楼,波阳路,定海路,写字楼,丙级,3.1,21,60000,2015,3.9,10.3,沪东中华船舶配套,船舶制造,6-10F,6200,3,3,正常经营,26
YP047,延吉中路商务大厦,延吉中路80号,延吉新村,写字楼,丙级,2.8,19,40000,2020,3.9,10.5,锦江国际（分支）,商务服务,8-12F,4200,2.7,3,正常经营,18
YP048,财富中心广场,邯郸路,五角场,写字楼,甲级,6,26,70000,2014,4,13.4,小米生态链（上海）,智能硬件,16-20F,6600,5.9,3,正常经营,34
YP048,财富中心广场,邯郸路,五角场,写字楼,甲级,6,26,70000,2014,4,13.4,理想汽车上海中心,汽车,12F,2800,5.8,3,正常经营,19
YP049,黄兴路总部基地,黄兴路1858号,控江路,写字楼,甲级,5.2,23,62000,2013,4,17.1,韵达速递总部,物流,14-19F,7400,5.1,3,正常经营,38
YP049,黄兴路总部基地,黄兴路1858号,控江路,写字楼,甲级,5.2,23,62000,2013,4,17.1,哔哩哔哩（增长团队）,互联网/文娱,10F,3200,5,3,正常经营,21
YP050,东方渔人码头商务楼,杨树浦路1088号,杨浦滨江,混合,甲级,7.2,29,74000,2017,4.1,12.7,太平洋保险（滨江）,金融,12-16F,6800,7,3,正常经营,35
YP050,东方渔人码头商务楼,杨树浦路1088号,杨浦滨江,混合,甲级,7.2,29,74000,2017,4.1,12.7,蔚来汽车体验中心,汽车,1-2F,2600,7.1,3,新签约,47
