编号,企业名称,简称,产业链层级,现注册地,拟搬入面积_㎡,决策人姓名,决策人职务,融资轮次,主要客户,来源渠道,漏斗阶段,健康度,销售负责人,上次接触日期,下一步动作,备注
GS-ECO-0027,腾讯TADSim,腾讯仿真,仿真,北京,400,苏奎峰,总监,大企业,腾讯系,自拓,触达,B,王五,2026-04-18,腾讯位置联动,
GS-ECO-0028,华为八爪鱼,华为仿真,仿真,北京/上海,400,华为车BU,—,大企业,华为生态,链主推荐,触达,B,王五,2026-04-18,等华为车BU签约联动,
GS-ECO-0029,42Mark,42Mark,仿真,北京,300,—,—,A轮,行业,自拓,触达,C,赵六,2026-04-10,工位制起步,
GS-ECO-0030,光轮智能,光轮,数据合成,北京,400,谢晨,CEO,A轮,造车新势力,自拓,意向,B,赵六,2026-04-23,共享算力对接,
GS-ECO-0031,极佳视界,极佳,数据/视频生成,北京,300,黄冠,CEO,A轮,行业,本地精品行,触达,C,孙七,2026-04-08,工位制起步,
GS-ECO-0032,中汽研华东,中汽研,测试认证,天津/上海,600,—,中心负责人,事业单位,行业广,政府推荐,谈判,A,周八,2026-04-29,D栋认证服务窗口,几乎确定
GS-ECO-0033,TüV莱茵,TUV,测试认证,上海,400,—,智驾负责人,跨国,行业广,自拓,意向,B,周八,2026-04-22,认证服务工位,
GS-ECO-0034,中国汽研,CATARC,测试认证,重庆/上海,500,—,中心负责人,事业单位,行业广,政府推荐,触达,B,张三,2026-04-15,等政策口子,
GS-ECO-0035,东方测控,东方测控,测试认证,北京,300,—,总经理,中型,行业,自拓,触达,C,李四,2026-04-09,工位制,
GS-ECO-0036,君合律师事务所,君合,法律服务,北京/上海,300,—,智驾业务合伙人,顶尖,行业广,自拓,意向,B,王五,2026-04-25,D栋驻点,
GS-ECO-0037,方达律师事务所,方达,法律服务,上海,300,—,智驾业务合伙人,顶尖,行业广,自拓,触达,B,王五,2026-04-15,与君合二选一+,
GS-ECO-0038,毕马威,KPMG,审计/咨询,上海,300,—,智驾合伙人,顶尖,行业广,自拓,触达,C,赵六,2026-04-10,产业研究合作,
GS-ECO-0039,普华永道,PwC,审计/咨询,上海,300,—,智驾合伙人,顶尖,行业广,自拓,触达,C,赵六,2026-04-10,产业研究合作,
GS-ECO-0040,国调基金,国调,产业基金,北京,200,—,智驾投资负责人,国家级,链主,政府推荐,意向,B,孙七,2026-04-23,LP/GP双模式,
GS-ECO-0041,中金资本,中金,产业基金,北京/上海,200,—,智驾投资负责人,顶尖,行业广,政府推荐,触达,B,孙七,2026-04-15,LP配资,
GS-ECO-0042,高瓴创投,高瓴,产业基金,北京/上海,200,—,智驾投资负责人,顶尖,行业广,自拓,触达,C,周八,2026-04-08,LP配资,
GS-ECO-0043,启明创投,启明,产业基金,上海,200,—,智驾投资负责人,顶尖,行业广,自拓,触达,C,周八,2026-04-08,LP配资,
GS-ECO-0044,联想创投,联想,产业基金,北京,200,—,智驾投资负责人,顶尖,行业广,自拓,触达,C,张三,2026-04-04,LP配资,
GS-ECO-0045,享道出行,享道,出行运营,上海,800,—,CEO,上汽系,上汽,自拓,意向,A,李四,2026-04-29,Robotaxi运营基地,
GS-ECO-0046,曹操出行,曹操,出行运营,杭州/上海,600,—,上海总经理,吉利系,吉利,本地精品行,触达,B,王五,2026-04-18,运营前哨,
GS-ECO-0047,如祺出行,如祺,出行运营,广州,500,—,上海负责人,广汽系,广汽,自拓,触达,C,赵六,2026-04-10,前哨,
GS-ECO-0048,T3出行,T3,出行运营,南京,500,—,上海负责人,联合,联合,自拓,触达,C,赵六,2026-04-10,前哨,
GS-ECO-0049,滴滴自动驾驶,滴滴自驾,L4/出行,北京/上海,1500,张博,CTO,上市,滴滴,链主推荐,意向,A,孙七,2026-04-26,城市NOA运营,
GS-ECO-0050,大众问问,大众问问,智能座舱,上海,800,—,CEO,大众系,大众,戴德梁行,意向,B,周八,2026-04-23,智驾扩展,
GS-ECO-0051-0300,…(后续企业按层级与配比录入；本表保留 300 行模板，启动后由销售按周维护),,,,,,,,,,,,,,,,
