company_id,from_area,to_area,industry_tag,area_change,reason
MIG0062,杨浦-新江湾,杨浦-滨江,检验检测/科技服务,0,产业链协同
MIG0063,徐汇区,杨浦-滨江,设计创意,0,成本驱动
MIG0064,静安区,杨浦-新江湾,在线新经济,-500,扩张
MIG0065,张江,杨浦-新江湾,在线新经济,300,扩张
MIG0066,临港,张江,专精特新制造服务,0,扩张
MIG0067,杨浦-滨江,杨浦-大创智,AI/大模型,0,成本驱动
MIG0068,杨浦-大创智,临港,科技金融,0,成本驱动
MIG0069,徐汇区,张江,设计创意,-200,成本驱动
MIG0070,杨浦-大创智,杨浦-滨江,在线新经济,-500,成本驱动
MIG0071,张江,杨浦-大创智,专精特新制造服务,800,政策牵引
MIG0072,静安区,徐汇区,在线新经济,-200,扩张
MIG0073,杨浦-大创智,杨浦-滨江,专精特新制造服务,-500,扩张
MIG0074,临港,徐汇区,AI/大模型,-200,产业链协同
MIG0075,杨浦-大创智,杨浦-新江湾,检验检测/科技服务,1500,产业链协同
MIG0076,杨浦-新江湾,徐汇区,在线新经济,-500,扩张
MIG0077,杨浦-新江湾,杨浦-滨江,设计创意,300,产业链协同
MIG0078,黄浦区,张江,检验检测/科技服务,800,政策牵引
MIG0079,张江,杨浦-新江湾,专精特新制造服务,-200,成本驱动
MIG0080,静安区,杨浦-滨江,在线新经济,300,成本驱动
MIG0081,杨浦-大创智,临港,科技金融,0,成本驱动
MIG0082,杨浦-滨江,临港,AI/大模型,-500,扩张
MIG0083,杨浦-滨江,临港,设计创意,0,扩张
MIG0084,黄浦区,杨浦-滨江,AI/大模型,300,成本驱动
MIG0085,徐汇区,临港,科技金融,1500,产业链协同
MIG0086,张江,杨浦-滨江,检验检测/科技服务,1500,扩张
MIG0087,张江,临港,专精特新制造服务,-500,产业链协同
MIG0088,张江,临港,检验检测/科技服务,0,产业链协同
