company_id,name,industry_tag,industry_lvl1,scale,area_sqm,plate,reg_capital_wan,status,signal
YP0027,杨浦示例企业0027,在线新经济,信息技术,微型,114,新江湾,500,存续,—
YP0028,杨浦示例企业0028,设计创意,文化创意,中型,1554,大创智,1000,存续,新设研发中心
YP0029,杨浦示例企业0029,AI/大模型,信息技术,中型,1142,大创智,1000,存续,—
YP0030,杨浦示例企业0030,在线新经济,信息技术,微型,185,新江湾,500,存续,近6月融资+招聘扩张
YP0031,杨浦示例企业0031,检验检测/科技服务,科学研究,中型,1210,内环商务,100,存续,—
YP0032,杨浦示例企业0032,科技金融,金融业,大型,4913,新江湾,300,存续,—
YP0033,杨浦示例企业0033,检验检测/科技服务,科学研究,微型,99,杨浦滨江,300,存续,—
YP0034,杨浦示例企业0034,专精特新制造服务,制造业,微型,176,国定路高校带,500,存续,—
YP0035,杨浦示例企业0035,AI/大模型,信息技术,小型,299,国定路高校带,3000,存续,—
YP0036,杨浦示例企业0036,设计创意,文化创意,中型,1315,国定路高校带,500,存续,近6月融资+招聘扩张
YP0037,杨浦示例企业0037,AI/大模型,信息技术,微型,102,大创智,1000,存续,—
YP0038,杨浦示例企业0038,检验检测/科技服务,科学研究,小型,534,国定路高校带,500,存续,—
YP0039,杨浦示例企业0039,AI/大模型,信息技术,微型,149,国定路高校带,300,存续,新设研发中心
YP0040,杨浦示例企业0040,在线新经济,信息技术,小型,244,杨浦滨江,1000,存续,新设研发中心
YP0041,杨浦示例企业0041,专精特新制造服务,制造业,中型,948,内环商务,300,存续,近6月融资+招聘扩张
YP0042,杨浦示例企业0042,检验检测/科技服务,科学研究,中型,899,内环商务,3000,存续,—
YP0043,杨浦示例企业0043,设计创意,文化创意,小型,480,五角场商圈,3000,存续,近6月融资+招聘扩张
YP0044,杨浦示例企业0044,AI/大模型,信息技术,中型,810,国定路高校带,3000,存续,—
YP0045,杨浦示例企业0045,在线新经济,信息技术,中型,1032,杨浦滨江,100,存续,工商稳定+岗位激增
YP0046,杨浦示例企业0046,科技金融,金融业,中型,1267,新江湾,500,存续,—
YP0047,杨浦示例企业0047,在线新经济,信息技术,中型,1538,大创智,3000,存续,—
YP0048,杨浦示例企业0048,检验检测/科技服务,科学研究,大型,6109,杨浦滨江,300,存续,—
YP0049,杨浦示例企业0049,检验检测/科技服务,科学研究,中型,975,新江湾,3000,存续,近6月融资+招聘扩张
YP0050,杨浦示例企业0050,在线新经济,信息技术,小型,571,大创智,100,存续,—
YP0051,杨浦示例企业0051,科技金融,金融业,小型,447,五角场商圈,100,存续,—
YP0052,杨浦示例企业0052,AI/大模型,信息技术,微型,75,大创智,3000,存续,新设研发中心
YP0053,杨浦示例企业0053,AI/大模型,信息技术,大型,5631,五角场商圈,500,存续,—
YP0054,杨浦示例企业0054,检验检测/科技服务,科学研究,微型,120,新江湾,1000,存续,—
YP0055,杨浦示例企业0055,设计创意,文化创意,微型,183,新江湾,500,存续,—
YP0056,杨浦示例企业0056,在线新经济,信息技术,微型,81,国定路高校带,1000,存续,新设研发中心
YP0057,杨浦示例企业0057,AI/大模型,信息技术,小型,308,五角场商圈,500,存续,—
YP0058,杨浦示例企业0058,在线新经济,信息技术,小型,387,内环商务,300,存续,工商稳定+岗位激增
YP0059,杨浦示例企业0059,在线新经济,信息技术,微型,74,内环商务,1000,存续,—
YP0060,杨浦示例企业0060,在线新经济,信息技术,中型,930,内环商务,1000,存续,—
YP0061,杨浦示例企业0061,设计创意,文化创意,微型,131,杨浦滨江,100,存续,—
YP0062,杨浦示例企业0062,AI/大模型,信息技术,小型,560,杨浦滨江,100,存续,工商稳定+岗位激增
YP0063,杨浦示例企业0063,检验检测/科技服务,科学研究,小型,232,新江湾,100,存续,—
YP0064,杨浦示例企业0064,在线新经济,信息技术,微型,117,内环商务,500,存续,近6月融资+招聘扩张
YP0065,杨浦示例企业0065,在线新经济,信息技术,微型,158,杨浦滨江,500,存续,新设研发中心
YP0066,杨浦示例企业0066,检验检测/科技服务,科学研究,小型,558,内环商务,500,存续,近6月融资+招聘扩张
YP0067,杨浦示例企业0067,AI/大模型,信息技术,微型,68,国定路高校带,500,存续,—
YP0068,杨浦示例企业0068,专精特新制造服务,制造业,微型,106,大创智,100,存续,工商稳定+岗位激增
YP0069,杨浦示例企业0069,AI/大模型,信息技术,小型,483,杨浦滨江,1000,存续,—
YP0070,杨浦示例企业0070,科技金融,金融业,微型,111,新江湾,100,存续,—
YP0071,杨浦示例企业0071,科技金融,金融业,微型,129,大创智,500,存续,—
YP0072,杨浦示例企业0072,在线新经济,信息技术,小型,291,杨浦滨江,500,存续,工商稳定+岗位激增
YP0073,杨浦示例企业0073,AI/大模型,信息技术,微型,54,内环商务,3000,存续,—
YP0074,杨浦示例企业0074,在线新经济,信息技术,微型,164,新江湾,100,存续,—
YP0075,杨浦示例企业0075,专精特新制造服务,制造业,小型,401,杨浦滨江,3000,存续,工商稳定+岗位激增
YP0076,杨浦示例企业0076,在线新经济,信息技术,小型,561,内环商务,300,存续,新设研发中心
YP0077,杨浦示例企业0077,科技金融,金融业,中型,629,内环商务,100,存续,—
YP0078,杨浦示例企业0078,科技金融,金融业,微型,147,杨浦滨江,3000,存续,—
YP0079,杨浦示例企业0079,科技金融,金融业,小型,223,新江湾,1000,存续,近6月融资+招聘扩张
YP0080,杨浦示例企业0080,科技金融,金融业,微型,134,杨浦滨江,3000,存续,工商稳定+岗位激增
YP0081,杨浦示例企业0081,AI/大模型,信息技术,小型,382,内环商务,300,存续,近6月融资+招聘扩张
YP0082,杨浦示例企业0082,设计创意,文化创意,微型,101,大创智,300,存续,—
YP0083,杨浦示例企业0083,AI/大模型,信息技术,中型,894,大创智,1000,存续,—
YP0084,杨浦示例企业0084,设计创意,文化创意,小型,319,大创智,100,存续,—
YP0085,杨浦示例企业0085,检验检测/科技服务,科学研究,微型,149,国定路高校带,500,存续,—
YP0086,杨浦示例企业0086,设计创意,文化创意,中型,1917,大创智,300,存续,近6月融资+招聘扩张
YP0087,杨浦示例企业0087,专精特新制造服务,制造业,小型,575,国定路高校带,3000,存续,近6月融资+招聘扩张
YP0088,杨浦示例企业0088,检验检测/科技服务,科学研究,小型,208,五角场商圈,3000,存续,—
YP0089,杨浦示例企业0089,专精特新制造服务,制造业,小型,317,五角场商圈,100,存续,近6月融资+招聘扩张
YP0090,杨浦示例企业0090,在线新经济,信息技术,大型,5085,五角场商圈,1000,存续,—
YP0091,杨浦示例企业0091,专精特新制造服务,制造业,小型,325,大创智,1000,存续,工商稳定+岗位激增
YP0092,杨浦示例企业0092,设计创意,文化创意,中型,1630,国定路高校带,3000,存续,近6月融资+招聘扩张
YP0093,杨浦示例企业0093,检验检测/科技服务,科学研究,中型,1116,大创智,100,存续,—
YP0094,杨浦示例企业0094,在线新经济,信息技术,微型,167,五角场商圈,1000,存续,—
YP0095,杨浦示例企业0095,AI/大模型,信息技术,小型,592,新江湾,100,存续,—
YP0096,杨浦示例企业0096,专精特新制造服务,制造业,小型,369,大创智,500,存续,—
YP0097,杨浦示例企业0097,专精特新制造服务,制造业,小型,206,杨浦滨江,1000,存续,近6月融资+招聘扩张
YP0098,杨浦示例企业0098,科技金融,金融业,微型,105,内环商务,1000,存续,工商稳定+岗位激增
YP0099,杨浦示例企业0099,检验检测/科技服务,科学研究,小型,592,杨浦滨江,100,存续,—
YP0100,杨浦示例企业0100,检验检测/科技服务,科学研究,大型,5874,大创智,100,存续,工商稳定+岗位激增
YP0101,杨浦示例企业0101,AI/大模型,信息技术,大型,5681,国定路高校带,500,存续,工商稳定+岗位激增
YP0102,杨浦示例企业0102,在线新经济,信息技术,微型,184,大创智,500,存续,—
YP0103,杨浦示例企业0103,在线新经济,信息技术,小型,343,新江湾,100,存续,—
YP0104,杨浦示例企业0104,在线新经济,信息技术,中型,1407,新江湾,100,存续,近6月融资+招聘扩张
YP0105,杨浦示例企业0105,设计创意,文化创意,小型,572,五角场商圈,300,存续,新设研发中心
YP0106,杨浦示例企业0106,设计创意,文化创意,中型,603,杨浦滨江,500,存续,—
YP0107,杨浦示例企业0107,设计创意,文化创意,大型,7841,大创智,100,存续,—
YP0108,杨浦示例企业0108,科技金融,金融业,微型,149,大创智,3000,存续,近6月融资+招聘扩张
YP0109,杨浦示例企业0109,设计创意,文化创意,中型,1174,五角场商圈,100,存续,近6月融资+招聘扩张
YP0110,杨浦示例企业0110,专精特新制造服务,制造业,大型,4042,杨浦滨江,500,存续,新设研发中心
YP0111,杨浦示例企业0111,科技金融,金融业,小型,419,大创智,100,存续,—
YP0112,杨浦示例企业0112,专精特新制造服务,制造业,中型,1734,杨浦滨江,3000,存续,工商稳定+岗位激增
YP0113,杨浦示例企业0113,AI/大模型,信息技术,中型,1523,大创智,3000,存续,—
YP0114,杨浦示例企业0114,专精特新制造服务,制造业,小型,481,国定路高校带,300,存续,近6月融资+招聘扩张
YP0115,杨浦示例企业0115,设计创意,文化创意,微型,116,杨浦滨江,1000,存续,—
YP0116,杨浦示例企业0116,科技金融,金融业,小型,261,新江湾,300,存续,—
YP0117,杨浦示例企业0117,AI/大模型,信息技术,大型,6072,大创智,3000,存续,工商稳定+岗位激增
YP0118,杨浦示例企业0118,科技金融,金融业,小型,271,内环商务,3000,存续,近6月融资+招聘扩张
YP0119,杨浦示例企业0119,AI/大模型,信息技术,小型,363,大创智,300,存续,工商稳定+岗位激增
YP0120,杨浦示例企业0120,检验检测/科技服务,科学研究,微型,155,大创智,1000,存续,新设研发中心
YP0121,杨浦示例企业0121,检验检测/科技服务,科学研究,微型,65,大创智,1000,存续,工商稳定+岗位激增
YP0122,杨浦示例企业0122,科技金融,金融业,小型,522,大创智,300,存续,近6月融资+招聘扩张
YP0123,杨浦示例企业0123,在线新经济,信息技术,小型,421,杨浦滨江,500,存续,—
YP0124,杨浦示例企业0124,AI/大模型,信息技术,小型,591,大创智,1000,存续,—
YP0125,杨浦示例企业0125,设计创意,文化创意,小型,470,大创智,1000,存续,—
YP0126,杨浦示例企业0126,在线新经济,信息技术,微型,88,五角场商圈,3000,存续,—
YP0127,杨浦示例企业0127,AI/大模型,信息技术,中型,1925,内环商务,1000,存续,近6月融资+招聘扩张
YP0128,杨浦示例企业0128,AI/大模型,信息技术,微型,195,大创智,100,存续,—
YP0129,杨浦示例企业0129,科技金融,金融业,小型,470,内环商务,1000,存续,—
YP0130,杨浦示例企业0130,AI/大模型,信息技术,小型,498,大创智,300,存续,工商稳定+岗位激增
YP0131,杨浦示例企业0131,在线新经济,信息技术,微型,187,国定路高校带,500,存续,—
YP0132,杨浦示例企业0132,科技金融,金融业,小型,324,内环商务,1000,存续,—
YP0133,杨浦示例企业0133,检验检测/科技服务,科学研究,大型,7772,大创智,500,存续,近6月融资+招聘扩张
YP0134,杨浦示例企业0134,在线新经济,信息技术,小型,415,新江湾,100,存续,工商稳定+岗位激增
YP0135,杨浦示例企业0135,专精特新制造服务,制造业,小型,452,杨浦滨江,100,存续,—
YP0136,杨浦示例企业0136,专精特新制造服务,制造业,小型,301,杨浦滨江,100,存续,—
YP0137,杨浦示例企业0137,专精特新制造服务,制造业,微型,176,国定路高校带,300,存续,工商稳定+岗位激增
YP0138,杨浦示例企业0138,在线新经济,信息技术,微型,125,大创智,100,存续,—
YP0139,杨浦示例企业0139,设计创意,文化创意,中型,1593,新江湾,1000,存续,—
YP0140,杨浦示例企业0140,AI/大模型,信息技术,微型,150,内环商务,100,存续,工商稳定+岗位激增
YP0141,杨浦示例企业0141,检验检测/科技服务,科学研究,微型,65,大创智,300,存续,工商稳定+岗位激增
YP0142,杨浦示例企业0142,专精特新制造服务,制造业,中型,762,国定路高校带,300,存续,工商稳定+岗位激增
YP0143,杨浦示例企业0143,在线新经济,信息技术,小型,439,五角场商圈,100,存续,工商稳定+岗位激增
YP0144,杨浦示例企业0144,专精特新制造服务,制造业,小型,369,杨浦滨江,1000,存续,近6月融资+招聘扩张
YP0145,杨浦示例企业0145,AI/大模型,信息技术,微型,157,大创智,100,存续,—
YP0146,杨浦示例企业0146,在线新经济,信息技术,中型,1232,杨浦滨江,1000,存续,近6月融资+招聘扩张
YP0147,杨浦示例企业0147,专精特新制造服务,制造业,小型,428,杨浦滨江,300,存续,工商稳定+岗位激增
YP0148,杨浦示例企业0148,专精特新制造服务,制造业,微型,155,内环商务,300,存续,—
YP0149,杨浦示例企业0149,设计创意,文化创意,微型,66,大创智,100,存续,工商稳定+岗位激增
YP0150,杨浦示例企业0150,专精特新制造服务,制造业,小型,385,大创智,500,存续,工商稳定+岗位激增
YP0151,杨浦示例企业0151,检验检测/科技服务,科学研究,中型,1248,大创智,500,存续,工商稳定+岗位激增
YP0152,杨浦示例企业0152,专精特新制造服务,制造业,大型,7193,五角场商圈,100,存续,近6月融资+招聘扩张
YP0153,杨浦示例企业0153,在线新经济,信息技术,中型,1553,大创智,1000,存续,—
YP0154,杨浦示例企业0154,设计创意,文化创意,微型,177,国定路高校带,300,存续,近6月融资+招聘扩张
YP0155,杨浦示例企业0155,专精特新制造服务,制造业,小型,277,杨浦滨江,3000,存续,工商稳定+岗位激增
YP0156,杨浦示例企业0156,科技金融,金融业,中型,1820,杨浦滨江,100,存续,—
YP0157,杨浦示例企业0157,设计创意,文化创意,微型,66,五角场商圈,100,存续,新设研发中心
YP0158,杨浦示例企业0158,检验检测/科技服务,科学研究,大型,2861,杨浦滨江,100,存续,工商稳定+岗位激增
YP0159,杨浦示例企业0159,AI/大模型,信息技术,小型,563,大创智,1000,存续,近6月融资+招聘扩张
YP0160,杨浦示例企业0160,在线新经济,信息技术,小型,545,杨浦滨江,300,存续,—
YP0161,杨浦示例企业0161,专精特新制造服务,制造业,中型,1201,五角场商圈,500,存续,工商稳定+岗位激增
YP0162,杨浦示例企业0162,科技金融,金融业,中型,1007,杨浦滨江,1000,存续,工商稳定+岗位激增
YP0163,杨浦示例企业0163,在线新经济,信息技术,微型,198,大创智,300,存续,工商稳定+岗位激增
YP0164,杨浦示例企业0164,设计创意,文化创意,微型,184,大创智,300,存续,—
YP0165,杨浦示例企业0165,AI/大模型,信息技术,大型,2838,五角场商圈,100,存续,新设研发中心
YP0166,杨浦示例企业0166,在线新经济,信息技术,大型,2330,国定路高校带,500,存续,工商稳定+岗位激增
YP0167,杨浦示例企业0167,AI/大模型,信息技术,大型,6777,大创智,300,存续,—
YP0168,杨浦示例企业0168,科技金融,金融业,微型,116,新江湾,100,存续,近6月融资+招聘扩张
YP0169,杨浦示例企业0169,检验检测/科技服务,科学研究,小型,219,五角场商圈,500,存续,工商稳定+岗位激增
YP0170,杨浦示例企业0170,AI/大模型,信息技术,微型,102,大创智,100,存续,—
YP0171,杨浦示例企业0171,设计创意,文化创意,微型,129,五角场商圈,100,存续,工商稳定+岗位激增
YP0172,杨浦示例企业0172,设计创意,文化创意,微型,75,新江湾,1000,存续,—
YP0173,杨浦示例企业0173,在线新经济,信息技术,微型,91,五角场商圈,1000,存续,—
YP0174,杨浦示例企业0174,设计创意,文化创意,小型,413,内环商务,100,存续,工商稳定+岗位激增
YP0175,杨浦示例企业0175,检验检测/科技服务,科学研究,小型,209,国定路高校带,500,存续,—
YP0176,杨浦示例企业0176,设计创意,文化创意,微型,51,五角场商圈,1000,存续,—
YP0177,杨浦示例企业0177,设计创意,文化创意,微型,197,大创智,500,存续,新设研发中心
YP0178,杨浦示例企业0178,在线新经济,信息技术,微型,86,大创智,1000,存续,近6月融资+招聘扩张
YP0179,杨浦示例企业0179,检验检测/科技服务,科学研究,中型,951,内环商务,300,存续,工商稳定+岗位激增
YP0180,杨浦示例企业0180,在线新经济,信息技术,大型,2891,新江湾,1000,存续,新设研发中心
YP0181,杨浦示例企业0181,在线新经济,信息技术,中型,689,杨浦滨江,1000,存续,工商稳定+岗位激增
YP0182,杨浦示例企业0182,检验检测/科技服务,科学研究,小型,564,内环商务,3000,存续,—
YP0183,杨浦示例企业0183,在线新经济,信息技术,中型,1871,五角场商圈,1000,存续,—
YP0184,杨浦示例企业0184,在线新经济,信息技术,微型,105,国定路高校带,100,存续,工商稳定+岗位激增
YP0185,杨浦示例企业0185,检验检测/科技服务,科学研究,小型,276,大创智,300,存续,—
YP0186,杨浦示例企业0186,在线新经济,信息技术,小型,587,大创智,100,存续,—
YP0187,杨浦示例企业0187,科技金融,金融业,小型,481,大创智,500,存续,—
YP0188,杨浦示例企业0188,科技金融,金融业,小型,537,新江湾,500,存续,新设研发中心
YP0189,杨浦示例企业0189,设计创意,文化创意,微型,175,大创智,1000,存续,工商稳定+岗位激增
YP0190,杨浦示例企业0190,检验检测/科技服务,科学研究,小型,291,五角场商圈,1000,存续,新设研发中心
YP0191,杨浦示例企业0191,AI/大模型,信息技术,小型,246,大创智,1000,存续,—
YP0192,杨浦示例企业0192,专精特新制造服务,制造业,小型,242,大创智,500,存续,—
YP0193,杨浦示例企业0193,检验检测/科技服务,科学研究,中型,1373,大创智,300,存续,近6月融资+招聘扩张
YP0194,杨浦示例企业0194,AI/大模型,信息技术,中型,824,内环商务,300,存续,近6月融资+招聘扩张
YP0195,杨浦示例企业0195,设计创意,文化创意,中型,938,杨浦滨江,300,存续,近6月融资+招聘扩张
YP0196,杨浦示例企业0196,科技金融,金融业,微型,132,新江湾,3000,存续,工商稳定+岗位激增
YP0197,杨浦示例企业0197,设计创意,文化创意,小型,445,大创智,300,存续,—
YP0198,杨浦示例企业0198,检验检测/科技服务,科学研究,小型,218,新江湾,300,存续,近6月融资+招聘扩张
YP0199,杨浦示例企业0199,在线新经济,信息技术,微型,133,五角场商圈,1000,存续,近6月融资+招聘扩张
YP0200,杨浦示例企业0200,科技金融,金融业,小型,525,大创智,500,存续,—
YP0201,杨浦示例企业0201,设计创意,文化创意,小型,253,新江湾,500,存续,—
YP0202,杨浦示例企业0202,专精特新制造服务,制造业,中型,1360,国定路高校带,500,存续,工商稳定+岗位激增
YP0203,杨浦示例企业0203,科技金融,金融业,小型,591,新江湾,100,存续,新设研发中心
YP0204,杨浦示例企业0204,在线新经济,信息技术,大型,4427,新江湾,3000,存续,工商稳定+岗位激增
YP0205,杨浦示例企业0205,专精特新制造服务,制造业,中型,1959,内环商务,500,存续,—
YP0206,杨浦示例企业0206,专精特新制造服务,制造业,微型,160,大创智,1000,存续,—
YP0207,杨浦示例企业0207,AI/大模型,信息技术,微型,61,大创智,100,存续,近6月融资+招聘扩张
YP0208,杨浦示例企业0208,检验检测/科技服务,科学研究,微型,141,杨浦滨江,3000,存续,工商稳定+岗位激增
YP0209,杨浦示例企业0209,检验检测/科技服务,科学研究,微型,143,杨浦滨江,3000,存续,—
YP0210,杨浦示例企业0210,在线新经济,信息技术,大型,3995,大创智,300,存续,新设研发中心
YP0211,杨浦示例企业0211,AI/大模型,信息技术,中型,1152,五角场商圈,1000,存续,—
YP0212,杨浦示例企业0212,AI/大模型,信息技术,中型,1317,大创智,3000,存续,—
YP0213,杨浦示例企业0213,设计创意,文化创意,小型,452,新江湾,300,存续,近6月融资+招聘扩张
YP0214,杨浦示例企业0214,AI/大模型,信息技术,小型,407,大创智,300,存续,工商稳定+岗位激增
YP0215,杨浦示例企业0215,AI/大模型,信息技术,微型,191,内环商务,300,存续,近6月融资+招聘扩张
YP0216,杨浦示例企业0216,在线新经济,信息技术,小型,531,新江湾,1000,存续,—
YP0217,杨浦示例企业0217,在线新经济,信息技术,微型,62,新江湾,1000,存续,—
YP0218,杨浦示例企业0218,AI/大模型,信息技术,小型,438,杨浦滨江,100,存续,—
YP0219,杨浦示例企业0219,设计创意,文化创意,大型,4141,大创智,300,存续,—
YP0220,杨浦示例企业0220,AI/大模型,信息技术,中型,1139,杨浦滨江,100,存续,工商稳定+岗位激增
YP0221,杨浦示例企业0221,检验检测/科技服务,科学研究,小型,467,五角场商圈,500,存续,工商稳定+岗位激增
YP0222,杨浦示例企业0222,在线新经济,信息技术,小型,286,大创智,500,存续,—
YP0223,杨浦示例企业0223,专精特新制造服务,制造业,微型,133,大创智,300,存续,—
YP0224,杨浦示例企业0224,科技金融,金融业,小型,522,新江湾,3000,存续,新设研发中心
YP0225,杨浦示例企业0225,检验检测/科技服务,科学研究,中型,1495,五角场商圈,300,存续,—
YP0226,杨浦示例企业0226,科技金融,金融业,小型,499,五角场商圈,100,存续,—
YP0227,杨浦示例企业0227,在线新经济,信息技术,微型,77,大创智,3000,存续,—
YP0228,杨浦示例企业0228,科技金融,金融业,中型,663,内环商务,100,存续,近6月融资+招聘扩张
YP0229,杨浦示例企业0229,专精特新制造服务,制造业,小型,577,五角场商圈,100,存续,近6月融资+招聘扩张
YP0230,杨浦示例企业0230,检验检测/科技服务,科学研究,微型,186,五角场商圈,100,存续,—
YP0231,杨浦示例企业0231,专精特新制造服务,制造业,微型,102,内环商务,300,存续,近6月融资+招聘扩张
YP0232,杨浦示例企业0232,AI/大模型,信息技术,大型,7195,内环商务,100,存续,—
YP0233,杨浦示例企业0233,专精特新制造服务,制造业,小型,267,五角场商圈,100,存续,—
YP0234,杨浦示例企业0234,专精特新制造服务,制造业,小型,416,大创智,500,存续,近6月融资+招聘扩张
YP0235,杨浦示例企业0235,科技金融,金融业,微型,144,内环商务,500,存续,—
YP0236,杨浦示例企业0236,检验检测/科技服务,科学研究,中型,1866,新江湾,100,存续,—
YP0237,杨浦示例企业0237,AI/大模型,信息技术,中型,1310,杨浦滨江,1000,存续,—
YP0238,杨浦示例企业0238,检验检测/科技服务,科学研究,中型,786,新江湾,3000,存续,—
YP0239,杨浦示例企业0239,在线新经济,信息技术,小型,347,杨浦滨江,100,存续,近6月融资+招聘扩张
YP0240,杨浦示例企业0240,设计创意,文化创意,小型,294,大创智,1000,存续,—
YP0241,杨浦示例企业0241,检验检测/科技服务,科学研究,大型,4324,大创智,300,存续,—
YP0242,杨浦示例企业0242,在线新经济,信息技术,微型,70,新江湾,1000,存续,—
YP0243,杨浦示例企业0243,专精特新制造服务,制造业,微型,133,新江湾,500,存续,近6月融资+招聘扩张
YP0244,杨浦示例企业0244,设计创意,文化创意,中型,1464,国定路高校带,100,存续,工商稳定+岗位激增
YP0245,杨浦示例企业0245,科技金融,金融业,大型,6105,杨浦滨江,300,存续,工商稳定+岗位激增
YP0246,杨浦示例企业0246,专精特新制造服务,制造业,小型,472,大创智,3000,存续,—
YP0247,杨浦示例企业0247,检验检测/科技服务,科学研究,小型,367,五角场商圈,3000,存续,近6月融资+招聘扩张
YP0248,杨浦示例企业0248,设计创意,文化创意,中型,947,五角场商圈,1000,存续,新设研发中心
YP0249,杨浦示例企业0249,科技金融,金融业,微型,168,新江湾,300,存续,—
YP0250,杨浦示例企业0250,科技金融,金融业,中型,1864,杨浦滨江,300,存续,—
YP0251,杨浦示例企业0251,在线新经济,信息技术,小型,378,五角场商圈,300,存续,工商稳定+岗位激增
YP0252,杨浦示例企业0252,在线新经济,信息技术,大型,2833,大创智,300,存续,—
YP0253,杨浦示例企业0253,AI/大模型,信息技术,微型,87,大创智,500,存续,—
YP0254,杨浦示例企业0254,设计创意,文化创意,微型,77,杨浦滨江,500,存续,工商稳定+岗位激增
YP0255,杨浦示例企业0255,设计创意,文化创意,微型,161,杨浦滨江,300,存续,—
YP0256,杨浦示例企业0256,专精特新制造服务,制造业,微型,115,杨浦滨江,3000,存续,—
YP0257,杨浦示例企业0257,AI/大模型,信息技术,大型,5522,五角场商圈,3000,存续,—
YP0258,杨浦示例企业0258,专精特新制造服务,制造业,微型,199,杨浦滨江,300,存续,—
YP0259,杨浦示例企业0259,专精特新制造服务,制造业,小型,333,大创智,100,存续,—
YP0260,杨浦示例企业0260,在线新经济,信息技术,中型,1889,五角场商圈,300,存续,工商稳定+岗位激增
YP0261,杨浦示例企业0261,设计创意,文化创意,微型,154,新江湾,3000,存续,—
YP0262,杨浦示例企业0262,在线新经济,信息技术,小型,205,国定路高校带,1000,存续,—
YP0263,杨浦示例企业0263,AI/大模型,信息技术,小型,282,大创智,300,存续,—
YP0264,杨浦示例企业0264,AI/大模型,信息技术,小型,304,国定路高校带,1000,存续,—
YP0265,杨浦示例企业0265,专精特新制造服务,制造业,小型,375,国定路高校带,1000,存续,—
YP0266,杨浦示例企业0266,设计创意,文化创意,小型,400,大创智,3000,存续,—
YP0267,杨浦示例企业0267,AI/大模型,信息技术,小型,526,五角场商圈,100,存续,工商稳定+岗位激增
YP0268,杨浦示例企业0268,设计创意,文化创意,微型,157,杨浦滨江,1000,存续,—
YP0269,杨浦示例企业0269,专精特新制造服务,制造业,微型,107,杨浦滨江,500,存续,—
YP0270,杨浦示例企业0270,检验检测/科技服务,科学研究,大型,5210,内环商务,1000,存续,工商稳定+岗位激增
YP0271,杨浦示例企业0271,在线新经济,信息技术,微型,99,内环商务,1000,存续,—
YP0272,杨浦示例企业0272,专精特新制造服务,制造业,大型,4892,大创智,1000,存续,新设研发中心
